cutoff,model,n,MAE (all),RMSE (all),MAPE% (all),R2 (all),bias (all),MAE (clean),RMSE (clean),MAPE% (clean),R2 (clean),bias (clean)
2025-07-01,lane median $/mile,9524,153.4776,646.5845,6.5633,0.8124,1.0055,104.2564,202.4165,4.4163,0.9776,0.9926
2025-07-01,gradient boosting,9524,86.2729,622.5965,3.7699,0.8261,1.015,36.8307,137.5078,1.5912,0.9896,1.0022
2025-08-01,lane median $/mile,9429,144.0721,633.8418,6.2017,0.8213,1.0163,97.2758,219.8056,4.0455,0.9741,1.0033
2025-08-01,gradient boosting,9429,94.9468,615.0026,4.1064,0.8318,1.0071,48.4266,178.9342,1.9729,0.9828,0.9945
2025-09-01,lane median $/mile,9523,145.5526,651.6518,6.3287,0.8177,1.0076,94.189,226.0744,3.905,0.9734,0.9921
2025-09-01,gradient boosting,9523,96.1707,630.7553,4.2114,0.8292,1.0084,45.809,190.2933,1.8341,0.9812,0.9937
